reward,steps,epsilon,reward_ma,steps_ma
-2.2800000000000002,400,0.05,-1.2119999999999982,384.46
-2.979999999999998,400,0.05,-1.2239999999999982,384.46
-3.9099999999999926,400,0.05,-1.1859999999999982,384.46
-2.7799999999999994,400,0.05,-1.1701999999999981,384.46
0.7500000000000022,400,0.05,-1.1259999999999983,384.46
-1.3299999999999985,400,0.05,-1.1621999999999981,384.46
-4.329999999999997,400,0.05,-1.274999999999998,384.46
-1.0099999999999998,400,0.05,-1.292199999999998,384.46
-3.12,400,0.05,-1.346199999999998,384.46
-1.2399999999999995,400,0.05,-1.3491999999999982,384.46
-4.299999999999992,400,0.05,-1.404599999999998,384.46
-1.4999999999999991,400,0.05,-1.3773999999999982,384.46
-1.19,400,0.05,-1.3557999999999981,384.46
-3.3399999999999976,400,0.05,-1.4345999999999983,384.46
-2.9800000000000004,400,0.05,-1.4953999999999978,384.46
-3.799999999999997,400,0.05,-1.589399999999998,384.46
-4.439999999999991,400,0.05,-1.663399999999998,384.46
-2.049999999999999,400,0.05,-1.667599999999998,384.46
-1.1199999999999988,400,0.05,-1.714399999999998,387.9
-3.6799999999999917,400,0.05,-1.7395999999999978,387.9
-3.0600000000000005,400,0.05,-1.7875999999999976,387.9
-1.3299999999999983,400,0.05,-1.802999999999998,387.9
-0.8899999999999979,400,0.05,-1.758599999999998,387.9
-3.479999999999997,400,0.05,-1.8541999999999978,387.9
-2.4099999999999997,400,0.05,-1.9125999999999979,387.9
-2.26,400,0.05,-1.9631999999999983,387.9
-2.6899999999999986,400,0.05,-2.006599999999998,387.9
-1.2899999999999987,400,0.05,-1.9657999999999982,387.9
-0.38999999999999857,400,0.05,-1.912399999999998,387.9
-3.1599999999999993,400,0.05,-1.933199999999998,387.9
-3.0300000000000007,400,0.05,-1.9867999999999981,387.9
-5.569999999999983,400,0.05,-2.036599999999998,387.9
-1.709999999999999,400,0.05,-2.122599999999998,393.56
-2.49,400,0.05,-2.068599999999998,393.56
-3.359999999999995,400,0.05,-2.126199999999998,395.18
-2.79,400,0.05,-2.115199999999998,395.18
-1.9900000000000002,400,0.05,-2.1599999999999984,395.18
-2.75,400,0.05,-2.206999999999998,395.18
-1.2899999999999987,400,0.05,-2.172399999999998,395.18
-3.869999999999999,400,0.05,-2.2481999999999984,395.18
-0.5599999999999985,400,0.05,-2.2175999999999982,395.18
-2.1399999999999992,400,0.05,-2.2267999999999986,395.18
-1.399999999999999,400,0.05,-2.217999999999998,395.18
-4.219999999999988,400,0.05,-2.252599999999998,395.18
-2.3899999999999997,400,0.05,-2.274199999999998,395.18
-1.8399999999999987,400,0.05,-2.268199999999998,395.18
-0.699999999999998,400,0.05,-2.221199999999998,395.18
0.6400000000000021,400,0.05,-2.221199999999998,396.2
-0.2899999999999989,400,0.05,-2.2629999999999977,400.0
-1.3199999999999992,400,0.05,-2.2931999999999975,400.0
-2.51,400,0.05,-2.297799999999998,400.0
-1.2499999999999991,400,0.05,-2.263199999999998,400.0
-3.0399999999999983,400,0.05,-2.245799999999998,400.0
-0.6699999999999988,400,0.05,-2.203599999999998,400.0
-3.5199999999999965,400,0.05,-2.288999999999998,400.0
2.4424906541753444e-15,400,0.05,-2.2623999999999977,400.0
0.5200000000000029,400,0.05,-2.1653999999999978,400.0
-0.9499999999999983,400,0.05,-2.164199999999998,400.0
-0.4599999999999984,400,0.05,-2.110999999999998,400.0
-1.2699999999999982,400,0.05,-2.111599999999998,400.0
-4.669999999999984,400,0.05,-2.1189999999999976,400.0
-3.179999999999988,400,0.05,-2.1525999999999974,400.0
-0.7199999999999989,400,0.05,-2.1431999999999976,400.0
0.3200000000000027,400,0.05,-2.0699999999999976,400.0
0.7800000000000027,400,0.05,-1.9947999999999972,400.0
-0.3199999999999985,400,0.05,-1.9251999999999976,400.0
-3.4299999999999966,400,0.05,-1.9049999999999974,400.0
-1.9199999999999993,400,0.05,-1.9023999999999974,400.0
-1.8699999999999992,400,0.05,-1.9173999999999976,400.0
-3.1199999999999983,400,0.05,-1.9061999999999975,400.0
-1.0399999999999991,400,0.05,-1.865799999999998,400.0
-2.4799999999999995,400,0.05,-1.8887999999999976,400.0
-1.4399999999999988,400,0.05,-1.8997999999999977,400.0
-4.299999999999997,400,0.05,-1.9161999999999975,400.0
-1.73,400,0.05,-1.9025999999999976,400.0
2.1800000000000015,344,0.05,-1.8137999999999974,398.88
-2.3499999999999996,400,0.05,-1.8069999999999977,398.88
-2.23,400,0.05,-1.8257999999999976,398.88
-3.1399999999999992,400,0.05,-1.8807999999999976,398.88
-2.3999999999999995,400,0.05,-1.8655999999999977,398.88
-2.5599999999999947,400,0.05,-1.8561999999999974,398.88
-2.259999999999999,400,0.05,-1.789999999999998,398.88
-4.51999999999998,400,0.05,-1.8461999999999974,398.88
-3.6599999999999953,400,0.05,-1.8695999999999975,398.88
-3.219999999999997,400,0.05,-1.8667999999999976,398.88
-4.039999999999989,400,0.05,-1.8917999999999973,398.88
-4.539999999999993,400,0.05,-1.9427999999999972,398.88
